a,b,c,expected
504f,ed34,250c,fc00
1319,666f,2659,3dce
b0f6,d837,6f54,6f59
20bc,9df3,0db1,0db1
0c94,3907,d2e0,d2e0
3bc5,42bf,3db1,44b3
2581,0347,aa45,aa45
4a05,0215,31d8,31d8
bead,b25e,7abc,7abc
37a2,a7f1,053d,a38a
ea44,8655,6a38,6a38
4e6f,5a98,0dd1,6d4d
5748,e898,fe5c,7e00
5b75,82a0,416a,416a
0c07,8567,de77,de77
e08c,d93c,7987,7c00
88ef,b1f9,0274,0000
8671,eb68,e7eb,e7eb
701a,1d35,7b82,7b83
fb20,7ede,609b,7e00
50d4,68b3,8b1c,7c00
a85c,8cbc,0cf3,0cf3
9f48,7b3c,7295,7260
0ec7,af38,602c,602c
4250,5ad6,e6e6,e434
f21d,07ce,d08d,d0bd
dad8,654f,8bf0,fc00
27af,5491,ae9f,402e
336d,e4a5,a273,dc50
7034,c08e,dfa4,f4e8
ef79,6730,e820,fc00
af0c,6ec6,9abf,e1f7
3492,c654,ba37,c12b
dd24,8e39,8808,2ffd
b083,ffde,5a46,7e00
a78c,4cbe,3c67,3855
38f6,9f3e,ac3c,ac84
d9a3,5107,4259,ef15
ef1a,55ef,b799,fc00
042c,57a9,110d,204f
f1d3,4769,25ec,fc00
77db,fa47,c977,fc00
b233,47c4,52b4,5284
cdf4,cf32,9fcc,615b
2481,a62f,ddcd,ddcd
1bb0,faba,bb42,da7e
884f,2888,ba66,ba66
0001,104a,93d7,93d7
73aa,54dc,470d,7c00
2bef,7fa7,bfb6,7e00
18fb,b33a,99d5,9af5
1d2e,ed6f,a3a1,cf0a
297e,c37f,78a3,78a3
8c20,8566,bcbe,bcbe
52ea,9011,ad95,af57
80d8,4564,3804,3804
051f,6973,a6b0,3224
4ba3,be48,790d,790c
cf3f,461f,7e88,7e00
63d6,8e6c,2b2f,b564
1b33,786c,e288,e189
33d4,846b,561f,561f
3b6b,8c89,3e5c,3e5c
25e1,73f8,a2d5,5ddb
0044,8b0a,ceb9,ceb9
d91b,d557,f4a1,ece2
81b4,4a69,c327,c327
d6bf,7773,4689,fc00
fd19,422a,6ee8,7e00
b3c6,1fab,3946,3942
426f,5db8,3d72,649a
b5af,1b4e,9e3d,9f89
4d6d,d8ec,0dbc,eaad
f2c2,932c,4ebc,50e2
58d9,f4c6,6d81,fc00
2cc9,8b5d,282e,282e
2cfe,8f42,d2e5,d2e5
a11c,3cbe,f818,f818
c26d,af03,81ae,35a2
ce44,5c3e,7f05,7e00
0f52,3611,b973,b973
0565,4623,014b,1023
8e57,5ab8,549d,549c
76f7,5b8d,cf26,7c00
3381,3d79,7721,7721
3a39,0574,9cd3,9cc2
c563,9d73,82d6,2757
19a2,2521,89d4,89d4
457c,8f65,6ded,6ded
ec87,cf2a,b53e,7c00
62fe,e172,38bd,fc00
c35d,9c6e,af13,ae0e
04b3,a253,3bd6,3bd6
9853,032d,f756,f756
3183,7a3d,e97e,6dd9
fa89,e7a7,a884,7c00
5b5f,b291,9f3c,d20d
c5b8,253e,1c58,af3a
1afe,78d0,cd04,5729
8962,b9e9,acfa,acf8
8e14,ca63,ed12,ed12
aa96,c144,b6a0,b475
e783,0be0,08ee,b764
c422,613a,c629,e969
827e,96d9,8164,0000
1c55,baca,5c30,5c30
99d9,0128,e74c,e74c
fecd,dc68,5a30,7e00
b446,61cf,3a53,da2f
bfec,30ad,f53f,f53f
4db1,7afb,bbaa,7c00
969a,fd21,60d5,7e00
6abe,5f65,6664,7c00
e2c2,089a,4006,3f90
bde2,cbec,4c7a,5126
e716,cdc1,7c7e,7e00
fed7,3981,38f1,7e00
0ea3,4f39,57d0,57d0
f20a,2706,a341,dd4d
abce,336d,f91e,f91e
022d,7145,46fd,46fd
38e4,abed,cb34,cb39
735c,6c43,aa2d,7c00
b324,3d4b,409a,4003
9718,2fec,b9fc,b9fc
1c0b,00bb,4810,4810
ffb1,37cb,aa7f,7e00
655e,b676,fc08,7e00
7cd2,1e75,f81c,7e00
ae74,e37f,7998,799b
6f8e,b388,508c,e6f9
4b2e,7dab,66e9,7e00
1882,b979,8bc9,9724
5f91,59fc,b189,7c00
c4a3,477b,43db,cfb1
acb8,a902,3b93,3b99
bd91,99b0,5ea4,5ea4
6e13,2549,e3e1,e2e0
29bf,a315,8a94,92bb
74e0,314f,a1e9,6a78
b1a2,7263,cf80,e88e
7d7b,e58b,740c,7e00
8efa,8007,0b72,0b72
a89e,2304,d47f,d47f
72ab,4332,bd63,79ff
43ee,7898,d3ac,7c00
6a0c,5ba2,421f,7c00
27c7,d995,bc85,c68e
4830,0ffb,830a,1c2d
5646,fe8e,c843,7e00
60a7,bdf8,cba1,e310
2ef7,076a,4867,4867
c2d5,ac9d,ef12,ef12
6864,3871,b5bd,64e0
d93d,caa5,221d,685a
9c1f,f952,d473,5683
0598,d9f9,6a64,6a64
3b6c,5e56,860b,5de1
9108,a57c,0ba4,0ba4
4110,f9f1,5fa2,fc00
19f2,13ee,8170,0000
ff68,d7dd,a178,7e00
843b,c303,f1a8,f1a8
ddc3,07d7,8f82,a9b4
9488,9b0a,1fdf,1fdf
74ea,25f3,44fe,5f63
a73c,99e7,655c,655c
42e1,cd6f,edf6,ee09
d461,6514,5018,fc00
29d4,563d,e653,e64e
6e17,8ec4,49a8,485e
1bb8,7241,36f9,5217
3508,1cea,d287,d287
187d,5a5f,bf39,bd70
5b46,8225,0c93,0c93
85fa,b22e,084e,084e
17e6,521b,11de,2e13
2fbb,2915,e6e7,e6e7
e070,56b2,8b17,fb6d
5ce1,9448,303c,b236
7201,ed6c,fc58,7e00
edcb,59b6,0c03,fc00
7df2,0ae7,c039,7e00
727e,5f0c,c6dc,7c00
bedf,189a,361d,360d
186d,a166,5779,5779
02fb,353d,54c0,54c0
7e0a,db56,f9b0,7e00
8210,898e,729a,729a
7874,c789,d7cf,fc00
88e4,8b9b,e781,e781
ebe6,5122,ed8e,fc00
ecba,59ca,3ca0,fc00
8836,06cf,774a,774a
77d3,5e33,7412,7c00
e5a6,1af1,e5d6,e5db
56bb,f809,e5c7,fc00
1d41,81b7,f406,f406
1059,c0a7,c992,c992
e8c5,5be0,1b76,fc00
bd7f,be0a,a633,401a
d563,788b,b2db,fc00
babd,e948,ee96,ec5c
2527,c6c5,8d31,b05f
b03f,1a92,f8d3,f8d3
9f11,4d9a,1e60,b0c0
a45c,e348,75ec,75ed
472b,f939,543d,fc00
85b1,6e5a,9734,b889
e566,3e3c,c9ca,e83b
3f31,8835,3129,3127
f2ba,b507,fb8d,fb06
9eed,bf0c,8ac6,21ff
614e,4165,19ab,6727
992a,30f7,8eff,92b4
af91,afa3,5a9e,5a9e
8383,414c,c326,c326
085d,fcb6,0012,7e00
5cc3,4840,8b27,690f
315f,04cb,384b,384b
12d3,f3ca,eaf4,eafb
bd74,7070,b21d,f20d
47f0,cef6,4deb,da2b
99ff,7fde,659b,7e00
4ceb,46b0,225c,581c
8ca8,3a55,886c,8de6
3130,209c,c680,c680
7bd4,b51e,691a,f45f
9d22,fc07,ec27,7e00
7fb9,06c7,c885,7e00
d28e,fb14,3ba4,7c00
7ac5,6935,4d9c,7c00
37b9,2f58,9fd6,2a1c
ece5,045a,9e69,b56d
f056,f512,9e5b,7c00
ceff,9a21,3239,3474
b2c6,d8f2,c98c,4d9a
2d03,578a,20b1,48ba
1a14,1e3b,7594,7594
b6aa,d82c,da29,d86c
fd99,d79e,74b0,7e00
917e,c2c3,ee02,ee02
9b26,6c2f,b094,cb8c
5ce5,0011,e9e0,e9e0
ecf2,8e69,d8a2,d892
941f,8079,09b6,09b6
a58a,2a66,eab9,eab9
02de,715d,65a5,65a5
f62d,187d,ad7c,d2f1
9e93,c967,b419,b1fa
668a,1ac1,1d66,4586
fbd0,5ad7,9b5d,fc00
5024,d985,41b5,edb6
5df0,f8d6,80ae,fc00
25e2,f071,4d2e,d9e2
39f6,3099,d918,d917
a1a3,dff6,bd14,4457
4be9,0fb9,cf2a,cf2a
dd16,1c40,b7ba,bf56
c93c,9949,2658,2aa2
5055,dcee,e4c7,f1f0
7468,ca3f,29a0,fc00
d774,90cb,7caf,7e00
c226,ce8b,2fcb,5509
be8a,082f,7287,7287
0732,1987,fe64,7e00
34f0,94cf,21e3,21b4
0b7f,b2d1,ca6b,ca6b
2954,a443,e971,e971
b446,c461,47e1,4886
5e6c,e8a3,ab64,fc00
3b1d,4259,f58b,f58b
8c4a,c41c,f602,f602
5b3d,820a,9848,9848
08d9,9075,c4ba,c4ba
50ff,3847,a0d4,4d57
9047,c729,ff85,7e00
0b36,cbd1,8505,9b34
a514,79ab,dfef,e595
62f7,b774,09af,de7d
b456,eba3,00d1,6424
a37c,c4da,4fac,4fb1
7682,47ba,b8f9,7c00
570b,4c53,d412,675c
ea16,c57b,d584,7425
7a32,9792,8ff8,d5dd
ddfc,9d0b,a45b,3f7a
26b8,a1a4,fd21,7e00
baf9,904f,1d3e,1db6
7774,ba83,31b5,f611
5f6e,20e9,e135,e12c
2805,d986,0321,c58d
b043,b78e,820c,2c06
cac8,5b24,27d0,ea0e
61a5,aacd,20e4,d0cc
6b9e,1fc1,6d6d,6d74
85d2,42d2,633b,633b
ebf6,c90c,1394,7906
e45e,90ab,1b1b,3920
97b8,1e80,23e2,23e2
ed89,1e07,07cc,d02c
63be,7dd2,6d42,7e00
bb77,50f9,d842,d96b
479a,8b11,2422,236d
117c,9f2b,8e61,8e61
7fdd,b787,227e,7e00
07fb,5c54,9dad,2737
32d2,0e2a,00ef,0541
b52d,9827,7add,7add
0b37,889a,8493,8493
02cd,1338,d40b,d40b
cef0,5e16,f80b,f95d
e474,106b,1eab,b8de
0026,2629,8add,8add
002f,c95a,5757,5757
e342,4ddd,5622,f54c
d2ff,fb60,4b24,7c00
c3a7,4bf0,430f,d327
abaf,f011,1f91,5fd0
bf8d,b6df,ac7e,39ec
ed4b,a329,5401,585f
9c34,c6d9,c3d6,c3c8
643b,be22,43bf,e678
7ea0,3d28,a6be,7e00
1b58,2b03,dd14,dd14
6e6f,8283,4e5e,4e5e
cf37,3ef0,7dce,7e00
c103,4483,eceb,ecee
ef02,7ef3,0836,7e00
2ec4,6452,b1fd,574c
af65,0d1f,457b,457b
0d39,41c8,f7c2,f7c2
bba1,24be,a8d8,ab1b
00f4,5309,ac1f,ac1f
1104,909c,6c86,6c86
778e,e701,9509,fc00
618a,cc34,9137,f1d2
3827,acb9,58f6,58f6
5bd4,f24b,c3c3,fc00
825b,82dc,96cc,96cc
9a71,3e51,959a,9e7c
affe,1582,f4e2,f4e2
eda6,6615,6cd0,fc00
e5db,45bc,dda5,f05f
3b0f,877b,0d44,0b3b
227f,e555,faf7,faf8
a110,aebc,194a,1b6c
f9d5,69ab,b92b,fc00
1ae3,c328,99ed,a3a4
eeeb,70e9,4b67,fc00
64b6,bb02,305a,e420
046c,e2ef,81f8,abaa
7c0c,75cc,a0b2,7e00
58b5,f5dd,da91,fc00
6327,c860,c0d0,efd4
cf77,3be8,3f89,cee8
d5a8,c02b,bdd7,59d9
d2e9,365c,2887,cd7c
eaa3,e7b7,2f8d,7c00
161c,af86,1ed8,1eaa
e3a9,8a1d,1cf7,3203
50db,8bc9,a3ee,a654
2a2e,cea1,4777,462f
15bd,948f,eaf7,eaf7
fc49,101c,62f9,7e00
5078,200e,28db,3523
3132,5337,51d7,5303
86a9,5f93,8aae,aa55
af3f,ae74,295c,2ad2
1001,bb6d,841f,903b
936e,8535,5f29,5f29
969d,8d08,2912,2912
0285,3fc7,6961,6961
31b9,0b00,4d8c,4d8c
cb05,a262,449c,44c9
10c1,9dfa,ec49,ec49
bd1e,de47,51a8,605e
f97f,4726,2338,fc00
b27c,ae9b,4a1e,4a21
200c,5846,8c32,3c53
1240,922c,c270,c270
87eb,9234,11b8,11b8
2519,be6d,008f,a818
2b0b,4ef5,810f,3e20
fde1,b5b5,955a,7e00
0c33,1ed8,c7f9,c7f9
0a52,95c6,45f9,45f9
0a4b,a96d,e297,e297
3471,7a39,3ea6,72e9
c1c4,9b00,d9c6,d9c6
49ef,3d59,1257,4bef
50bc,ae2f,163d,c351
7ed0,6f83,84cf,7e00
11e3,6c44,1c44,4249
bc33,fa6a,aa2d,7abc
7890,e9e8,1a54,fc00
b41d,16b0,8db2,9249
ce20,f76c,dfd6,7c00
4739,3169,db5c,db52
86e9,5aa6,56e5,56e5
e0f8,f2c6,f424,7c00
93c6,f80e,d9bc,d8c0
8c5c,8b09,cb13,cb13
ea79,c0ec,1e88,6ff7
5ac5,9713,163f,b5f6
7f54,e277,ae86,7e00
ae65,0c3f,992f,992f
a8e1,c92e,40bf,4189
7d42,d6ac,0510,7e00
e1b2,f5aa,1ac1,7c00
1769,6c7d,48cb,4c7a
9f8c,2ee5,75e3,75e3
ab4b,ca1a,8c59,398f
ae2e,c272,0827,34fc
ce44,a09f,6463,6463
b5fb,6d2c,3b65,e7bb
64f3,614f,c749,7c00
1df9,c57b,f224,f224
b88e,7d4a,01f3,7e00
d908,7c51,2ae0,7e00
8736,bc88,cb3f,cb3f
3428,4f0e,c823,bb88
23a3,8a40,b79b,b79b
e020,9e40,bdb5,3f2f
a47a,4b85,ad7e,b594
6d4a,fcaf,135a,7e00
c9c4,1849,b49b,b4fe
ae0f,db6a,8419,4d9d
42b1,0c35,af5b,af4d
d0cd,6e8c,5cc0,fc00
c722,aece,dc1c,dc19
5e9e,610b,0444,7c00
7fef,deed,281f,7e00
fd09,2084,f11a,7e00
38a6,f714,200f,f41d
ff1c,74f9,75ce,7e00
2a65,ba7c,d646,d647
90d1,fdf2,fa52,7e00
68d0,320d,f128,f0ee
4f6f,9249,41d8,41cc
f6a8,18ab,4348,d350
5d0f,847d,b76f,b7ca
9a17,6914,4eba,4ccb
31f8,bf76,41e1,412f
b3a6,7f73,3f46,7e00
de86,cd9b,e5b2,6fb8
0ca2,0bb9,2909,2909
7ea5,571f,893d,7e00
0c61,3afb,1257,1420
3477,2773,3231,3274
5428,742e,4fed,7c00
a9e8,1f01,1aa9,1a04
3603,ae00,eb95,eb95
010a,e46f,a80a,a80a
376c,780d,765a,790e
71e0,12db,2156,490a
0af8,f448,373a,c28e
0e91,ec3c,43ea,4070
0117,b41a,7122,7122
13f4,e3c3,0815,bbb7
8a0a,167b,627b,627b
d1c6,7368,1cb9,fc00
59e4,c261,284b,e0b2
f883,ddec,08c1,7c00
156e,bd40,3c91,3c8f
2f3a,f716,f961,f9c7
ff03,dfb4,e5f2,7e00
2af3,6ee9,996c,5e01
32d2,ad27,5f69,5f69
e0a7,c8b2,2ce8,6d76
c988,6e96,828c,fc00
7900,594b,5889,7c00
659a,5d92,5767,7c00
44df,7c15,c658,7e00
8f0a,be4a,3e59,3e5a
b10f,ef7f,4a9c,64ca
3c9d,7d8a,8338,7e00
e440,9c05,6e4c,6e4d
c05a,2dea,1922,b25a
1e7f,7c74,74e0,7e00
813a,397f,d20d,d20d
e3aa,16ad,4b76,4aa9
6a95,18bb,49e9,4ce7
c854,8581,f877,f877
d944,ec8e,3531,7c00
0aef,56d3,d9d9,d9d9
beb7,d2be,27d7,55a9
13a2,13f9,8357,0000
6019,b768,9a7c,db96
1cf1,ad55,871a,902e
2112,0e24,df23,df23
dcdc,23a7,3b3e,c37c
7b26,2ef6,8c7f,6e38
ca6a,a38b,6bab,6bab
d34f,b1af,aede,4923
274e,faa0,89ce,e60d
071f,f795,e0ff,e106
54f1,dc77,dc05,f594
779d,0b68,b679,46a4
6290,29f7,95eb,50e5
db01,6a4f,6f36,fc00
306e,aafa,c50b,c50d
f7ee,8b6c,1d8b,475c
0e32,202f,dea6,dea6
6ad0,45e9,1468,7508
4045,2e76,1968,32fb
9359,f000,ef8f,ef8d
8b2d,563e,93e7,a5d8
7c3a,132e,7b0f,7e00
942d,504f,89a6,a885
51dc,0631,5d30,5d30
0599,47dd,a5a0,a574
216a,0513,c4e4,c4e4
9d76,e14c,7247,7247
d9df,4dd1,abec,ec45
a2a8,157d,090a,090a
2636,2ce5,23ea,246f
b22e,5b7e,904d,d1ca
6b67,c331,f360,f704
4774,0168,b716,b716
603c,d006,450e,f442
eb4e,d208,80d4,7c00
24a4,a0e6,9b3a,9b95
629b,696b,b785,7c00
df89,a80e,4c75,5023
1057,d603,c2ee,c308
3c71,88e2,ef39,ef39
2e8e,c4f3,41a4,40a0
3001,d1ae,8567,c5af
f27b,f39b,2f44,7c00
15d6,56c8,8e46,30ef
7243,8092,f507,f507
3b1e,2f0d,3c1c,3c80
fc88,be64,ab45,7e00
b2e9,7dbb,7d5b,7e00
8f2c,0549,5435,5435
0f2c,2302,884b,884b
2923,f68a,bdc8,e434
8d85,73cb,46ed,3e34
aa74,7028,b747,deb7
3fa8,c6cc,51bd,501d
786a,c188,f553,fc00
bc67,6689,4028,e72f
cb9a,9eb4,f403,f403
8809,4230,e392,e392
3449,ffb1,282f,7e00
ec7b,a496,e663,e611
d9e8,9d88,31c1,3ccd
f312,fac7,dad9,7c00
4a7d,ceb2,18e3,dd6e
090a,8d02,0efb,0efb
89bc,f1dd,f6d1,f6d1
3490,b772,0a48,b03d
981d,864f,8407,8407
44a8,7399,b804,7c00
f944,f2ed,4897,7c00
f54d,c17c,fe44,7e00
1da3,2bd8,1b90,1c20
4eff,f5c5,0546,fc00
65ad,124e,ba45,355a
3d1f,4c3b,847f,4d6b
657e,04a9,4227,425a
241a,7e67,a804,7e00
99bc,fdfb,3e7e,7e00
73bc,d7cf,4d33,fc00
fc4a,e6e6,fd58,7e00
557f,80fc,fb41,fb41
93db,9a86,bba5,bba5
60b2,757e,f671,7c00
a100,35d1,ef4b,ef4b
32f4,2ab0,a5c7,a1be
1a13,7962,ca29,5767
a48f,f6f1,ae20,5fe9
3fe7,5e58,ca52,622b
35e2,1b0f,9f8f,9e43
1aaf,ae58,0bdf,8576
0d36,62eb,9e9b,3468
2ac8,f6d1,8a96,e5c7
f31d,49bc,805f,fc00
9157,72ca,00f3,c888
6e7c,2219,6d8a,6d9e
1113,072b,0f11,0f11
faa1,9c63,3603,5b48
2ed4,7459,668d,6afc
1759,998c,8259,0000
5828,9bce,7a5a,7a5a
cdb8,ddd6,f215,eba4
1a89,dfc4,efc3,efc3
a431,4663,e10f,e10f
17df,5f8a,0f66,3b6c
8fe0,25e2,d9ef,d9ef
dbc3,15d6,3142,b212
a713,00c0,81fb,0000
fd20,8489,f3eb,7e00
adc2,9d36,0f9f,1390
de2c,d8ba,db65,7b44
991e,4dd4,d1d7,d1d9
067a,0857,91b3,91b3
7089,9705,cedb,d16b
3e80,8ef9,7b6e,7b6e
b7ad,356b,c749,c773
af68,2b9d,b074,b0ac
234e,35cd,a3be,a118
8b57,143e,2449,2449
15d9,9f80,797d,797d
cc13,241c,f4a1,f4a1
0ac1,86c1,b681,b681
c7c7,9335,0f58,1f78
0511,26ec,c6d0,c6d0
b11d,8507,bea9,bea9
faed,ae9c,5c32,6dfc
c752,7c77,9b64,7e00
f597,cdd1,aa89,7c00
368f,e278,5e31,5318
de28,aee9,7235,723a
772b,9d3b,5144,d6be
db4e,f016,00de,7c00
965d,c346,5313,5313
8026,e702,8302,0000
2b9e,0d06,8980,8980
beb7,959a,f3f1,f3f1
e2c0,3245,55d3,d4c1
eea6,d06b,f302,7c00
84ba,1901,82fb,0000
bfae,015f,75fa,75fa
2113,8de3,211a,211a
ce53,ab12,26b6,3db2
813e,e2d4,5e2a,5e2a
71d3,c684,1176,fc00
af93,aecb,f66f,f66f
ecbc,6cbd,7449,fc00
c5f4,86be,9095,0000
b725,8c5b,1a8b,1ac9
1a66,12c9,80ef,0000
fc3c,4262,e72f,7e00
30eb,7ce7,40e4,7e00
1390,e2f3,9ada,ba99
e133,fe2d,bc37,7e00
651c,6cd9,0548,7c00
4cb2,f87e,f7cb,fc00
ecea,8399,74e0,74e0
02df,4d4a,fffc,7e00
f01c,b8ba,5707,6cf7
af18,96d3,2894,289a
f003,0d23,eaaa,eaab
6edc,f052,0499,fc00
6723,d3d8,c396,fc00
0be5,a1db,6ea8,6ea8
814a,c15c,57ab,57ab
fd31,01d3,bb08,7e00
46d7,42ae,bc70,4d6f
10a8,dd0c,66b9,66b9
1fc1,7d50,66f1,7e00
0cb9,1ada,e565,e565
1541,20fd,f0a0,f0a0
ddc4,734d,001a,fc00
7931,8a3a,2963,c805
83da,464d,edce,edce
249a,8aba,22b7,22b7
3bf9,3f7a,f5f5,f5f5
3147,19d4,36a1,36a3
cd30,46db,72d7,72c5
a290,d179,04f8,387d
a973,daff,b945,4870
0fa5,f1d2,4400,be40
baa5,4a19,1cc4,c910
a6c3,b918,576c,576c
6273,a9f0,7839,7838
d9ac,7815,75af,fc00
010c,efd6,4a60,4a60
c598,fe09,5d11,7e00
e036,579a,6f37,fc00
1a37,6e30,a999,4ccc
e570,f1e9,a873,7c00
a701,bd49,5fbb,5fbb
5853,4925,3c82,6591
cbc9,9fdb,e1d2,e1d2
f77a,e9d0,f06b,7c00
e234,edab,097e,7c00
eb16,761b,755a,fc00
509f,98e5,1ccb,ad5b
7a13,6985,4702,7c00
ac02,f716,f948,f90f
b020,eba3,033f,5fe0
d98b,7abd,4119,fc00
9b24,dd71,ecaf,ecaf
4e49,ce2b,e08a,e4b2
97d2,51c4,1d17,ad52
64e2,5a5b,a95d,7c00
a212,66c5,a537,cd24
fd30,ce76,806c,7e00
5fe6,82d2,c1f2,c1f2
a838,645e,3279,d095
a5eb,f70a,f7be,f794
38fd,db50,6890,6847
bf71,cb0e,f3c5,f3c2
cdbd,7e9f,f8a7,7e00
988a,2979,c10c,c10c
2150,d41b,aef0,ba52
39d1,949b,3baf,3bad
2db6,9c0f,9723,984b
0ef0,84a7,9b93,9b93
b0e6,3a5a,34e7,31ea
c160,0a01,c0cc,c0cc
8d01,c6fa,097f,18b5
cd64,4944,0845,db19
0231,875f,10af,10af
19fe,3c97,e2d0,e2d0
8188,80f4,6c79,6c79
aca7,53a7,2081,c471
5a48,2f85,6692,66aa
d260,9f78,cc12,cbf4
f2a0,7774,31f7,fc00
52ec,473c,2a1d,5e42
1be6,7474,5cbd,5dd6
9e8c,c791,5381,5383
1802,4385,9f9b,8480
054c,8553,d89f,d89f
637e,733b,cd9e,7c00
6e3c,1d08,d842,d68e
47b5,645e,a6ce,7035
fa43,10f0,ec10,ec18
caec,f73a,699e,7c00
68dc,b2ca,3abc,e01e
fb5f,3427,7c82,7e00
3ab1,5c80,2607,5b87
3f3d,68bf,41a8,6c4c
ff10,a9c7,2b2a,7e00
4ce0,2ed9,2601,4038
fcae,2d3b,44b0,7e00
9c5c,e50e,d7fc,d7a4
f37c,7a5d,21b1,fc00
8aeb,87ad,ddcb,ddcb
9601,bc7b,dad4,dad4
829c,6779,1b9c,1b9c
f84f,1172,a45e,cddf
d4bc,1360,b079,b2a8
f341,ac2b,8903,638f
6b26,dcbb,7b30,fc00
9904,6fc1,922c,ccdd
3c3b,c507,2731,c54a
b223,8745,cba8,cba8
1409,8323,e743,e743
5066,cb8d,9b4b,e027
746e,5b10,f214,7c00
81f4,84cc,c060,c060
b335,598c,3f7f,d0c3
1faf,0f2c,be88,be88
4e36,d231,49ef,e4c3
9e13,656b,6fa7,6fa5
a900,70cc,e555,e6d5
29f2,d7cc,20bf,c5c9
a722,347b,3c7d,3c75
b8c0,d8ed,34f7,55de
3734,c0e0,1cbc,bc5f
8304,24dd,8bc4,8bc4
ca6a,8658,1fbb,2080
bc59,8d92,e7cb,e7cb
1038,8207,cdc9,cdc9
e591,0368,398a,398a
03bd,b09d,f87e,f87e
6e04,4bd7,a0ec,7c00
514c,9f37,3c23,39e2
9270,4c9a,861f,a374
038d,47a8,5875,5875
f541,ee03,6d0a,7c00
4569,39e4,432f,4794
d4e5,e9a4,b58c,7c00
0ec8,e329,399a,3522
4141,912e,5dda,5dda
834b,4a0b,19c2,19c2
ba19,fece,219a,7e00
adf2,786c,9ca2,ea93
dc0c,747e,9af5,fc00
2337,feff,89c4,7e00
38aa,f775,3cd0,f459
caf9,2952,c753,c7e7
903a,17d6,b1fa,b1fa
4d0b,69df,229c,7b67
2e04,7bb0,cbff,6dc4
19bf,4b72,962a,2928
6641,d485,a0d4,fc00
c862,4d0e,9a91,d98a
e430,88ae,9601,30da
d384,7324,19e8,fc00
e405,def2,8a29,7c00
effa,ad32,4dd2,615d
e20f,96cb,e2d7,e2d4
e848,e842,e250,7c00
b61d,f81a,de57,7212
8da9,9a3f,f1b1,f1b1
ff26,9d86,5d48,7e00
d68f,7837,410a,fc00
4d88,9b00,0f2b,acd0
b622,2e53,64b2,64b2
0f07,0646,5a24,5a24
1864,6dd3,1a84,4a65
5ccb,b514,a1d3,d616
f604,c816,d2b8,7c00
f146,9a40,db98,da90
4292,3701,ef8b,ef8b
b7a9,c218,097b,3dd6
ffdf,fffb,f7af,7e00
97ea,a351,687d,687d
769e,f1b9,133c,fc00
482b,ff08,2a94,7e00
feb5,a566,70c6,7e00
868c,d6d3,e28c,e28c
1133,9f1b,5d64,5d64
2c58,bcad,6eaf,6eaf
5d6c,71d9,f8eb,7c00
e8e0,1167,e9a7,e9a8
93f6,8c35,929a,929a
494e,7382,3a5c,7c00
985e,c13a,21e7,2461
b576,eb77,3411,6518
fa97,9b3c,3fe6,5a06
6a7c,fb75,7bb8,fc00
4f2b,a2ae,47c7,4767
d8dc,8b6f,45a4,45ad
b024,dd48,27ac,5179
ee9d,fc8e,76e7,7e00
0bcb,5d73,4f7c,4f81
c5e8,9f9a,bd2e,bd01
7e2e,a3ff,079e,7e00
58cc,c90e,b8b5,e611
06c4,d729,8276,a20e
ea3d,a918,8c0b,57f2
17f0,2d08,3a7c,3a7c
fb59,9924,1888,58b9
b0c4,66b6,572d,d868
e1c6,1fa8,545e,5406
0ceb,fa64,5006,4c1e
1984,a7b3,5c7c,5c7c
7cd0,feca,b2a4,7e00
373b,d523,23da,d0a5
c200,25f9,be80,bec8
c2cd,79f4,59bb,fc00
71db,2b28,4dc0,616b
e387,23ec,0028,cb74
dfae,f97a,d76a,7c00
0f59,57a3,f85c,f85c
0c67,b96c,94f0,95af
8d03,fca9,b101,7e00
bcf9,a3dd,972e,2470
7393,501d,6451,7c00
991d,d76d,c162,c0ca
bd00,a539,0742,268e
e216,2bfa,b3ac,d219
7ce7,f595,3930,7e00
d976,c0fc,e7af,e5fc
563e,732f,dc2b,7c00
2e32,1cbd,6aef,6aef
5ece,337c,da28,d5f2
5dcf,b29a,31df,d4c8
ca61,f838,eca9,7c00
530b,65d1,b351,7c00
523b,ba3f,2303,d0dd
d5e1,eda6,dd92,7c00
e76a,febd,5bac,7e00
f43c,f0f3,e99e,7c00
dcb0,ea9e,0a29,7c00
7baf,4c13,246f,7c00
c2d3,6a5f,ae13,f16f
040f,c9fa,6c38,6c38
0d12,5ade,2c0c,3033
1ef6,8e13,496a,496a
4d4b,4db0,04ee,5f87
d599,2a22,f4a8,f4a8
1d89,514b,93f5,334b
b517,dcc8,a3f7,5615
1344,dc9e,05b5,b431
4d39,0861,573b,573b
f76c,780a,b648,fc00
18d5,d827,f1b6,f1b6
a9ae,6bdb,c1bc,d9ab
86cf,7649,8021,c159
403d,644e,6bd1,6e30
54ac,5a5e,0e04,7370
b932,0160,4439,4439
c87a,465c,1002,d31e
3c16,b509,232e,b4ec
ef1f,4f78,ac2f,fc00
e79a,c0fc,8e23,6cbc
3457,9135,0213,89a6
2682,c0c4,5582,5581
23a7,4cfa,6f3b,6f3b
27c5,21ce,657a,657a
86c5,e016,cabb,cab4
e71d,cca6,eca7,771a
a62f,24d4,c32c,c32c
3024,2195,8c33,14ba
b701,640d,6211,5d0a
5c71,a4b1,b30e,c56e
9b24,b181,a076,a027
476a,af53,5549,553b
ee44,281f,efc1,eff5
12eb,baf0,b538,b53b
